,w_i-2,w_i-1,w_i,w_i+1,w_i+1
522,,,Wards,protected,protected
948,The,mayor's,present,term,term
952,of,office,expires,Jan.,Jan.
31003,,``,Nae,",",","
37765,,Some,even,boast,boast
37774,adults,and,one,for,for
47303,A,note,making,the,the
65936,them,in,planning,the,the
65940,entertainment,are,Messrs,and,and
65947,",",George,McElyee,",",","
65950,",",Jack,Fanning,",",","
65957,and,Joe,Darrow,.,.
154774,,Cried,one,professor,professor
154793,must,have,defecated,you,you
157320,small,clearing,squeezed,between,between
157329,and,a,creek-filled,gully,gully
167449,not,need,to,be,be
199190,it,--,such,as,as
212995,fact,is,incontestable,:,:
213004,Boston,was,narrow-minded,",",","
213022,ventures,into,iconoclasm,",",","
213027,quite,prepared,to,resort,resort
233182,of,morality,increased,or,or
244211,wobble,and,weave,quite,quite
244216,bit,at,first,.,.
244900,,,As,soon,soon
244907,large,enough,to,move,move
244919,they,are,to,bloom,bloom
260036,decimal,equivalent,to,simplify,simplify
261910,Those,responsible,included,Stardel,Stardel
265044,carbine,as,one,of,of
287018,can,easily,double,your,your
287020,double,your,cooling,load,load
293121,easy,excuse,to,leave,leave
293127,work,and,stand,at,at
293146,",",not,imitative,",",","
299551,sufficiently,mature,to,help,help
310214,,,Retirement,policies,policies
333190,and,very,little,sugar,sugar
333195,used,in,cooking,.,.
342548,exists,for,longer,than,than
342549,for,longer,than,a,a
342557,is,likely,to,shake,shake
380673,can,serve,as,a,a
382347,had,been,practically,amputated,amputated
382348,been,practically,amputated,and,and
391273,side,'',cropped,up,up
398437,the,fact,remains,that,that
398438,fact,remains,that,there,there
398439,remains,that,there,are,are
399703,In,a,far,distant,distant
410432,",",like,live,fish,fish
416527,",",hemmed,in,by,by
416530,by,massive,palazzi,.,.
431843,that,the,Japanese,are,are
433360,also,definitely,fashions,conduct,conduct
433365,the,way,explained,above,above
433366,way,explained,above,",",","
433370,and,this,means,far,far
433373,far,more,than,in,in
438263,nation-state,had,to,struggle,struggle
438265,to,struggle,to,assert,assert
438284,influence,of,such,other,other
446078,blood,the,crimson,tulip,tulip
446080,crimson,tulip,stains,;,;
466312,They,never,troubled,themselves,themselves
466316,about,us,while,we,we
466324,the,fence,formed,such,such
466340,a,command,so,impossible,impossible
466343,impossible,of,misinterpretation,.,.
500282,subjected,to,stern,lectures,lectures
500303,be,a,little,less,less
500310,were,a,little,more,more
508291,could,not,function,properly,properly
564730,sexes,agree,that,standards,standards
590007,,His,later,boastings,boastings
591167,he,once,attacked,as,as
591174,(,see,Apology,",",","
591176,Apology,",",3:300,),)
637699,complement,of,about,100,100
660357,are,required,to,operate,operate
660364,in,order,to,protect,protect
673136,Carleton,Social,Co-operative,is,is
673139,is,a,standing,committee,committee
695421,conditioning,and,ventilating,systems,systems
695427,buildings,are,subject,to,to
702353,close,relationship,throughout,.,.
758046,for,the,Soviet,state,state
763035,districts,are,hard,pressed,pressed
788091,federal,government's,student-loan,program,program
789148,,,High-tension,industrial,industrial
824741,two,ruined,Titans,guarding,guarding
824748,one,of,Dante's,circles,circles
824755,great,dead,juvenile,delinquents,delinquents
825272,,,Horace's,column,column
825275,column,of,imperishable,verse,verse
825285,air,of,Augustan,Rome,Rome
865336,cannot,stop,to,grasp,grasp
865339,grasp,and,embrace,and,and
865344,in,the,back,seat,seat
869072,was,no,longer,worried,worried
922717,and,with,no,new,new
964725,was,he,to,suspect,suspect
964727,to,suspect,that,an,an
964739,waiting,for,just,such,such
964740,for,just,such,a,a
969020,,,For,he,he
969037,and,then,returned,to,to
969041,the,kitchen,to,get,get
989271,duty,was,to,write,write
989277,text,and,to,teach,teach
1007898,,the,square,head,head
1007900,square,head,fell,over,over
1007901,head,fell,over,.,.
1044773,like,charcoal,that,is,is
1044778,on,its,under,side,side
1052970,,But,there,hadn't,hadn't
1052975,enough,time,to,build,build
1062002,got,Margaret,Rider,in,in
1063628,",",who,bore,one,one
1063629,who,bore,one,of,of
1069462,order,her,to,bring,bring
1069490,--,and,light,and,and
1069492,light,and,smoke,.,.
1084862,and,fur,trim,rode,rode
1084864,trim,rode,high,.,.
1117665,possibility,is,to,make,make
1117670,for,her,to,let,let
1117686,family,or,one,of,of
1117692,old,ladies,that,Tuxapoka,Tuxapoka
1117700,Miss,Edna,Whittaker,",",","
1120153,hadn't,I,rescued,him,him
